iter	Passed	Remaining
0	0	71
1	1	64
2	1	59
3	2	56
4	2	54
5	3	53
6	3	52
7	4	51
8	4	50
9	5	49
10	5	48
11	6	47
12	7	47
13	7	46
14	8	45
15	8	45
16	9	44
17	9	43
18	10	43
19	10	42
20	11	42
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	39
27	15	38
28	15	38
29	16	38
30	17	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	31
43	23	30
44	24	29
45	24	29
46	25	28
47	25	28
48	26	27
49	27	27
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
